id,name,ra,dec,distance,mag,absmag,spectrum
1819,,15.4082045,37.37696091,37.0919881305638,4.31,1.4635994,F
1820,,15.41250787,-39.71013154,117.924528301887,5.36,0.0019792612,A
1821,,15.41549558,58.96602354,31.328320802005,3.29,0.8103144,K
1822,,15.42229234,-38.7335881,114.678899082569,4.6,-0.69741756,A
1823,,15.42983476,15.42805438,281.69014084507,5.16,-2.0888581,M
1824,,15.43818468,34.3358496,150.15015015015,5.46,-0.42262885,K
1825,,15.4550402,-36.76750151,128.369704749679,5.46,-0.08231271,B
1826,,15.46384775,29.10549164,34.965034965035,3.66,0.94183016,F
1827,,15.47730179,1.84216258,37.4812593703148,5.15,2.280929,A
1828,,15.49007671,-46.7326907,271.739130434783,5.26,-1.9107609,K
1829,,15.51548634,40.83306815,267.379679144385,5.04,-2.095642,K
1830,,15.52362616,77.34933897,255.102040816327,5.0,-2.0335696,K
1831,,15.52522795,-73.38954647,312.5,5.4,-2.0742502,B
1832,,15.52972009,40.89936876,131.752305665349,4.98,-0.6187911,A
1833,,15.5435314,-19.67036366,69.4927032661571,5.5,1.290304,A
1834,,15.5488322,31.35915517,95.3288846520496,4.14,-0.7561225,B
1835,,15.54942996,-1.18629929,82.9187396351575,5.5,0.90673655,K
1836,,15.56958881,-10.06395962,28.9519397799653,4.61,2.3016117,K
1837,,15.57403676,-9.18334968,107.52688172043,5.16,0.0024147427,B
1838,,15.5770304,-28.04690734,113.122171945701,5.13,-0.13773867,K
1839,Alphekka,15.57810819,26.71491041,22.9095074455899,2.22,0.41992125,A
1840,,15.58005284,10.53885916,64.3500643500644,3.8,-0.24274492,F
1841,,15.58568343,-41.16669497,173.913043478261,2.8,-3.4016607,B
1842,,15.58747225,39.01004619,175.131348511384,5.14,-1.0768194,M
1843,,15.59209426,-14.78955365,46.6853408029879,3.91,0.56409734,K
1844,,15.59812916,-44.95833688,133.155792276964,4.55,-1.0718004,B
1845,,15.60337126,-44.39668903,202.020202020202,5.44,-1.086974,M
1846,,15.60820887,10.0104549,71.9942404607631,5.26,0.9735112,K
1847,,15.61199636,-66.31690469,66.2690523525514,4.11,0.0034461988,K
1848,,15.61707183,-28.13507099,59.6658711217184,3.6,-0.27862993,K
1849,,15.63043082,40.35328811,50.0,5.25,1.75515,G
1850,,15.63425619,-42.56748493,70.4721634954193,4.34,0.09991198,K
1851,,15.64427343,-29.77768935,136.425648021828,3.66,-2.01448,B
1852,,15.64708465,-52.37261965,140.252454417952,5.43,-0.30455235,B
1853,,15.64847424,-19.30170914,104.166666666667,5.36,0.27135617,G
1854,,15.65630105,36.63582763,145.137880986938,4.64,-1.168904,B
1855,,15.66277079,-34.41189273,75.0750750750751,4.66,0.28252113,G
1856,,15.67136259,-23.81805841,116.959064327485,4.97,-0.37016943,K
